# ib,gm
1E-07,3.95626E-06
1.25893E-07,4.86865E-06
1.58489E-07,5.97456E-06
1.99526E-07,7.30788E-06
2.51189E-07,8.90584E-06
3.16228E-07,1.08087E-05
3.98107E-07,1.30588E-05
5.01187E-07,1.57001E-05
6.30957E-07,1.87767E-05
7.94328E-07,2.23316E-05
1E-06,2.64022E-05
1.25893E-06,3.10262E-05
1.58489E-06,3.62355E-05
1.99526E-06,4.20563E-05
2.51189E-06,4.85105E-05
3.16228E-06,5.56172E-05
3.98107E-06,6.33963E-05
5.01187E-06,7.18722E-05
6.30957E-06,8.10776E-05
7.94328E-06,9.10566E-05
1E-05,0.000101865
1.25893E-05,0.000113565
1.58489E-05,0.000126223
1.99526E-05,0.000139898
2.51189E-05,0.000154637
3.16228E-05,0.000170469
3.98107E-05,0.000187396
5.01187E-05,0.000205391
6.30957E-05,0.000224384
7.94328E-05,0.000244242
0.0001,0.000264634
