# ib,vreg
1E-07,1.2539
1.25893E-07,1.27508
1.58489E-07,1.29683
1.99526E-07,1.31923
2.51189E-07,1.34238
3.16228E-07,1.3664
3.98107E-07,1.39144
5.01187E-07,1.41768
6.30957E-07,1.44531
7.94328E-07,1.47456
1E-06,1.5057
1.25893E-06,1.53904
1.58489E-06,1.57493
1.99526E-06,1.61377
2.51189E-06,1.65602
3.16228E-06,1.70223
3.98107E-06,1.75301
5.01187E-06,1.80908
6.30957E-06,1.87127
7.94328E-06,1.94056
1E-05,2.01808
1.25893E-05,2.10514
1.58489E-05,2.20332
1.99526E-05,2.31442
2.51189E-05,2.44062
3.16228E-05,2.58448
3.98107E-05,2.74907
5.01187E-05,2.93807
6.30957E-05,3.15591
7.94328E-05,3.40788
0.0001,3.70016
